Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
GNAL	-1.86375	-1.33945	-1.71015	-1.72615	-1.36205	-1.64965	-1.61385	-1.77975	-1.50395	-1.64985	-1.59995	-1.69705	-1.86885	-1.73575	-1.71045	-2.00265	-1.80325	-1.55335	-1.39565	-1.69695	-1.62285	-1.61345	-1.89965	-1.56245	-1.72845	-1.70925	-2.01525
GNAO1	-1.8922	-2.022	-1.938	-2.1803	-1.6096	-2.6031	-2.2158	-1.9725	-3.3282	-1.6989	-1.6498	-1.5471	-2.5008	-2.9076	-3.2611	-1.8909	-1.73	-2.2109	-2.5044	-2.5952	-1.8118	-2.5312	-1.9574	-1.7493	-2.0953	-3.361	-1.7472
GNAS	-0.07616	-0.56676	0.14384	1.29054	0.73794	0.82974	0.50764	-0.42646	-0.23566	0.13284	0.82474	0.01714	0.44234	-0.00086	0.31124	-0.58446	-0.66156	1.20354	0.80124	0.62084	-0.05956	0.62384	-0.44776	0.64094	0.15174	0.62664	-0.21896
GNAT1	-0.205683333	-0.229383333	-0.196783333	0.347516667	-0.152283333	-0.175683333	-0.195983333	-0.187583333	-0.215783333	0.081116667	-0.169983333	-0.168283333	-0.207383333	-0.192383333	-0.204983333	0.330116667	-0.236883333	-0.211683333	-0.221083333	-0.202483333	0.096316667	-0.243283333	-0.201683333	-0.022683333	-0.219583333	-0.218483333	-0.490383333
GNAT2	0.977733333	1.447833333	1.858733333	2.050033333	1.996133333	2.024333333	2.268733333	1.674533333	1.339133333	1.847633333	2.460433333	1.320133333	1.784733333	2.369033333	2.318333333	1.625133333	1.156133333	1.423533333	1.054233333	2.241133333	1.400133333	1.686633333	1.245033333	1.453533333	1.529733333	1.905333333	1.581933333
GNAZ	-2.290736842	-2.423736842	-2.623536842	-1.919836842	-2.353936842	-2.409236842	-2.457736842	-2.314436842	-2.072836842	-2.557536842	-2.306836842	-2.368736842	-1.888136842	-3.125136842	-2.335036842	-2.025836842	-2.089536842	-2.263136842	-2.261536842	-2.223836842	-2.023236842	-2.057436842	-2.309036842	-2.044336842	-1.890536842	-2.388236842	-2.199936842
GNB1	0.5944	0.7123	0.3484	0.5334	0.8497	0.351	0.5619	0.1408	0.2708	0.6015	0.5654	0.5603	0.5321	0.626	0.4686	0.2664	0.3656	0.4096	0.5852	0.6059	0.7933	0.5097	0.4786	0.6516	0.4203	0.2687	0.4737
GNB1L	0.03005	0.22525	-0.04845	0.54415	0.21035	0.11265	0.01405	-0.34825	0.11945	-0.12695	0.19645	-0.00205	0.22695	0.24095	0.29805	0.23455	0.24285	0.20135	0.15365	-0.09535	0.21445	0.14475	-0.10845	0.29375	0.42465	0.20145	0.30675
GNB2	0.938225	1.063625	1.090825	1.040225	1.312125	1.180725	1.230825	0.439025	0.957525	1.133325	1.141025	0.950325	1.133425	0.865325	1.137925	0.995425	0.732525	0.910825	0.733825	0.428425	1.036925	0.901025	0.868325	1.034525	0.886825	1.113125	1.049225
GNB2L1	1.9804	2.0144	1.9489	2.1451	2.1063	2.1333	2.1704	2.0198	2.1849	1.9209	2.2009	2.0065	2.0311	1.9807	2.0005	2.052	2.0932	2.0614	2.0567	1.9687	1.9123	2.1452	2.0637	2.0863	1.9735	1.7381	2.0289
GNB3	0.368166667	0.057466667	0.388466667	0.328666667	0.337666667	0.525566667	-0.088833333	-0.095433333	0.467866667	0.071166667	-0.461933333	0.083166667	0.193766667	0.131466667	0.036266667	0.305266667	0.278466667	0.312466667	0.041766667	0.397466667	0.565766667	0.117266667	0.323566667	0.293966667	0.369566667	0.119866667	0.323466667
GNB4	1.709114286	1.159414286	0.985514286	1.197014286	1.130814286	0.720514286	1.046314286	1.061414286	0.652314286	1.150414286	0.676714286	0.379214286	1.404414286	1.248514286	1.110814286	0.674714286	0.848914286	0.661514286	1.263314286	1.500314286	0.675014286	1.097014286	1.559714286	1.029814286	0.682014286	1.412914286	0.988314286
GNB5	-1.0204625	-1.1605625	-0.9706625	-1.0301625	-1.0011625	-1.0275625	-0.9587625	-0.7008625	-0.7332625	-0.8160625	-1.2067625	-1.0936625	-0.7574625	-0.6415625	-0.6616625	-0.9098625	-0.8443625	-1.0345625	-0.8958625	-0.7696625	-0.6167625	-0.7431625	-0.8412625	-1.0113625	-0.9461625	-0.7677625	-0.6770625
GNE	-0.128	-0.3392	-0.1013	-0.1954	-0.1701	-0.3957	-0.0762	0.1417	-0.328	0.1059	0.0686	-0.0055	-0.2407	-0.3301	-0.2042	0.1572	0.1741	-0.3784	-0.0711	0.3979	-0.0381	-0.3146	-0.0715	-0.2236	-0.4546	-0.1087	0.0954
GNG10	-0.421766667	-0.475966667	-0.146266667	-0.449066667	-0.374366667	-0.338366667	-0.357766667	0.050433333	-0.371866667	-0.477866667	-0.303266667	-0.404666667	-0.477166667	-0.408766667	-0.436366667	-0.042666667	-0.097466667	-0.509866667	-0.328966667	-0.044966667	-0.265166667	-0.275666667	-0.501666667	-0.430966667	-0.640666667	-0.174666667	-0.555366667
GNG11	-1.0541	0.97	1.5	0.8257	1.3507	1.3758	1.1276	-0.3571	1.4878	1.1601	1.0212	1.0772	1.255	0.4533	1.0612	-1.1731	-1.4334	-0.5449	1.042	1.0215	-1.6811	0.9046	-1.0507	0.3056	0.679	1.2504	0.407
GNG12	1.6721	2.1021	2.3808	2.2349	2.0062	1.7856	1.9404	1.9964	2.0649	2.116	1.9061	2.029	2.1862	2.5239	2.3857	1.6222	1.6725	1.8405	2.0671	2.2614	1.9871	2.2838	1.7884	1.8697	2.1007	2.3839	1.9886
GNG13	-1.7034	-1.6342	-1.6381	-1.5906	-1.3692	-1.7231	-1.8131	-1.7372	-1.6428	-1.502	-1.4423	-1.584	-1.6323	-1.6639	-1.6071	-1.0984	-1.6198	-1.3643	-1.7656	-1.9617	-1.5513	-1.6138	-1.4667	-1.5188	-1.6931	-1.7598	-1.5196
GNG2	-0.790884615	-1.256784615	-0.723584615	-0.582484615	-0.978484615	-0.285684615	-0.849084615	-0.772384615	-0.844584615	-0.690784615	-0.637584615	-1.109584615	-1.085684615	-0.641084615	-0.782484615	-0.492084615	-0.703384615	-1.142884615	-1.087084615	-0.882784615	-1.016684615	-1.007684615	-0.948584615	-0.987584615	-0.867484615	-0.759884615	-0.985584615
GNG3	-3.2896	-3.2727	-3.168	-2.7143	-2.9718	-2.9763	-3.3014	-3.4478	-3.2985	-3.1665	-2.9074	-3.091	-3.1809	-2.6403	-3.0352	-3.1138	-3.2687	-3.4836	-3.5501	-2.8522	-3.4967	-3.2676	-3.2014	-3.1824	-3.4085	-3.2351	-3.7863
GNG4	-0.9828125	-1.3693125	-2.4800125	-0.8558125	-1.6577125	-2.1637125	-1.4605125	-0.8201125	-0.9950125	-2.1240125	-0.9598125	-2.5944125	-2.6855125	-1.3115125	-2.8642125	-0.6561125	-0.6708125	-2.0836125	-1.4258125	-2.2126125	-0.7741125	-1.3499125	-0.9268125	-1.3217125	-1.4295125	-2.0280125	-1.0439125
GNG5	1.27485	1.38965	1.33015	1.52065	1.52025	1.35185	1.34075	1.58585	1.37495	1.43945	1.38895	1.35385	1.25595	1.45405	1.53625	1.22475	1.17685	1.17615	1.47225	1.56425	1.28425	1.49295	1.24415	1.41245	1.19325	1.38965	1.20055
GNG7	-2.550933333	-1.286233333	-1.675833333	-1.606833333	-1.236433333	-2.107333333	-1.550733333	-1.785633333	-2.681633333	-2.199033333	-1.509233333	-1.258833333	-1.359033333	-2.273033333	-1.568333333	-1.769133333	-1.706233333	-1.441333333	-1.661133333	-2.131533333	-1.627733333	-1.487633333	-2.288333333	-1.386733333	-1.490733333	-2.053133333	-1.495233333
GNG8	-1.8019875	-2.2564875	-2.0313875	-2.0490875	-1.8807875	-1.6588875	-2.3312875	-2.0182875	-0.8588875	-2.3183875	-2.4151875	-1.8886875	-1.6165875	-2.3295875	-2.3246875	-1.8190875	-1.9058875	-1.9577875	-2.1710875	-1.9518875	-2.0630875	-2.0898875	-1.5849875	-1.9551875	-2.2731875	-1.9663875	-2.2981875
GNGT1	5.049818182	4.614018182	4.478718182	4.677618182	4.556818182	4.690218182	4.866218182	4.515518182	4.930318182	4.669218182	5.090218182	4.602418182	5.345218182	5.285018182	4.747718182	4.280918182	4.196318182	4.072418182	4.227618182	5.202718182	4.216618182	4.167518182	4.464518182	4.120518182	4.611718182	4.696918182	4.048618182
GNGT2	-0.0928	0.0646	0.5868	0.4693	0.0475	0.7628	0.5076	0.2084	0.1775	0.8378	0.6099	0.1943	0.4468	0.8594	0.6057	0.2656	0.0145	0.307	-0.5853	0.4726	0.0447	0.3904	0.1593	-0.0165	0.2589	0.6024	0.1606
GNL1	2.1662125	2.2975125	2.2792125	2.2513125	2.5031125	2.1891125	2.3211125	1.8674125	2.2091125	2.3324125	2.4761125	2.2512125	2.1878125	2.1689125	2.1697125	2.2844125	2.0885125	2.3002125	2.0799125	2.0090125	1.8212125	2.0407125	2.2088125	2.3023125	2.1294125	2.1690125	2.1212125
GNL2	1.7982	1.6026	1.4309	1.8538	1.5559	1.7605	1.6247	1.8963	1.725	1.4406	1.4754	1.6206	1.6961	1.9887	1.8056	1.6846	1.6972	1.4402	1.6685	1.803	1.7532	1.7962	1.8241	1.4816	1.4078	1.6717	1.6236
GNL3	1.1389	1.1035	0.9561	1.054	0.7747	1.1059	1.0037	1.0817	1.0239	0.5068	1.0987	0.6789	1.0676	1.3362	0.9235	1.1508	1.1933	0.8187	1.0225	1.4564	0.8286	1.2168	1.0914	0.8631	0.8193	1.0781	1.1633
GNL3L	1.3195	1.1832	1.5292	1.2285	1.4789	1.2723	1.2989	1.5227	1.4471	1.2397	1.4403	1.2137	1.2943	1.2773	1.2257	1.5605	1.5082	1.2453	1.2413	1.225	1.2617	1.1305	1.6693	1.2346	1.3374	1.1993	1.29
GNLY	-1.956133333	-1.902333333	-1.882733333	-1.890933333	-1.774633333	-1.878833333	-1.930533333	-1.976533333	-1.920133333	-1.696233333	-1.891133333	-2.007333333	-2.011533333	-1.927333333	-1.938333333	-2.164933333	-2.104633333	-1.973633333	-2.024433333	-1.901133333	-1.783533333	-1.904833333	-1.893733333	-1.839533333	-2.221033333	-1.960433333	-2.025833333
GNMT	0.291925	0.597525	0.284225	0.384325	0.512925	0.201425	0.724925	0.189325	0.498425	0.661525	0.311725	0.590525	0.087125	0.727425	0.786025	0.650225	0.637425	0.661925	0.410425	0.495725	0.014925	0.111325	0.299525	0.400225	0.590825	0.460025	0.528525
GNPAT	0.7242	0.5725	0.2867	0.6747	0.4318	0.551	0.548	0.6592	0.6232	0.4725	0.4828	0.4888	0.5131	0.6874	0.5805	0.6786	0.6955	0.3893	0.5195	0.6665	0.7806	0.7158	0.6653	0.4352	0.8077	0.5389	0.6407
GNPDA1	1.2299875	1.4007875	1.5845875	1.4517875	1.1712875	1.2243875	1.3684875	1.0574875	1.5677875	1.2371875	1.0516875	1.5210875	1.3141875	1.2898875	1.4201875	1.3483875	1.2518875	1.3543875	1.2118875	1.2593875	1.3510875	1.3299875	1.2871875	1.4530875	1.1854875	0.9532875	1.4601875
GNPDA2	-0.348046154	-0.140046154	-0.094846154	-0.003446154	-0.260346154	-0.056046154	-0.191246154	-0.239646154	-0.218646154	-0.293246154	-0.440646154	-0.153046154	-0.296146154	0.170453846	0.197253846	-0.574746154	-0.337846154	-0.180046154	-0.162846154	-0.109146154	-0.272446154	-0.129546154	-0.622946154	-0.400946154	-0.046946154	-0.080846154	-0.193146154
GNPNAT1	1.186119048	1.201119048	1.199219048	1.278619048	1.054119048	1.287719048	1.169319048	1.235119048	1.296619048	1.234719048	1.122419048	1.231019048	1.134719048	1.343219048	1.293019048	1.391319048	1.303419048	1.104919048	1.153319048	1.299119048	1.167519048	1.146619048	1.038019048	1.248719048	0.883619048	1.329219048	1.071819048
GNPTAB	-0.559727778	-0.737127778	-0.690127778	-0.990527778	-0.800927778	-1.173427778	-0.990027778	-0.299027778	-0.579927778	-0.851827778	-1.305427778	-0.659227778	-1.059827778	-1.003527778	-0.666527778	-0.683427778	-0.547227778	-0.834927778	-0.502327778	-1.006927778	-0.542927778	-0.539327778	-0.539327778	-0.899327778	-0.856927778	-0.929127778	-0.908827778
GNPTG	-0.9209	-0.9909	-1.1075	-1.0837	-1.2645	-1.1035	-1.0173	-1.7509	-1.0964	-1.0805	-1.1109	-0.9278	-1.0313	-1.0719	-1.0692	-1.1869	-1.2654	-0.5712	-0.8824	-1.3973	-1.0723	-0.7313	-1.0769	-0.962	-0.6733	-1.0493	-0.902
GNRH1	1.4666	1.2591	1.6331	1.3835	1.4156	1.355	1.3326	1.3899	1.5188	1.6133	1.4926	1.3527	1.4911	1.8443	1.2518	1.1848	1.4147	1.0456	1.2268	1.8743	1.3413	1.2288	1.6425	1.4321	1.2033	1.5047	1.3233
GNRH2	0.196983333	0.021983333	0.073183333	0.203883333	0.231983333	0.242783333	-0.077716667	0.185883333	0.280183333	0.186883333	0.283183333	0.638383333	0.094083333	0.252683333	0.046083333	0.373283333	-0.001016667	0.068283333	-0.006116667	0.044783333	0.069083333	-0.064816667	0.064883333	0.059883333	-0.044716667	0.044983333	-0.072816667
GNRHR	2.703183333	1.863083333	2.286583333	2.481383333	2.220883333	2.500283333	2.125683333	2.108383333	2.516883333	2.254983333	2.349683333	2.638383333	2.881483333	2.230283333	2.694083333	1.846883333	2.042783333	1.630783333	2.519183333	2.416183333	1.929583333	2.246583333	2.080383333	2.866783333	2.523583333	2.667883333	2.635383333
GNS	0.864363636	1.075863636	1.373263636	1.399563636	1.313963636	1.310063636	1.354763636	1.114063636	1.520263636	1.431663636	1.355263636	1.360463636	1.372363636	1.416563636	1.529363636	1.009763636	0.943563636	1.229163636	0.909263636	1.297963636	0.970863636	1.053063636	0.815863636	1.201163636	1.162063636	1.407363636	1.060163636
GOLGA1	-0.303207692	-0.281107692	-0.231307692	-0.423407692	-0.312707692	-0.526307692	-0.361007692	0.110992308	-0.235607692	-0.496007692	-0.168707692	-0.113107692	-0.203607692	-0.400307692	-0.580607692	-0.107707692	-0.095507692	-0.210007692	-0.217507692	-0.184807692	-0.145807692	-0.357807692	-0.246307692	-0.191507692	-0.230707692	-0.288507692	-0.403507692
GOLGA2	0.432	0.8784	0.7305	0.5793	0.588	0.7167	0.5739	0.345	0.3577	0.6958	0.8057	0.8083	0.7386	0.5028	0.4712	0.6525	0.5312	0.6064	0.4997	0.4661	0.3708	0.6834	0.602	0.5506	0.7474	0.5941	0.4043
GOLGA2L1	0.404425	0.752525	0.768325	0.581325	0.508725	0.676825	0.618225	0.510925	0.437125	0.637725	0.904325	0.749925	0.692125	0.751925	0.469125	0.538625	0.423425	0.590525	0.475425	0.517025	0.371425	0.637625	0.667725	0.568425	0.707625	0.570625	0.436425
GOLGA2LY1	0.0764	0.4915	0.4867	0.2361	0.6489	0.5225	0.0302	0.8807	0.7273	0.821	0.5163	0.8905	0.5467	0.3474	0.6113	0.6002	0.4182	0.5397	0.2263	0.677	0.7572	0.6073	0.7659	0.774	0.5583	0.3367	0.6695
GOLGA3	-0.566661538	-0.667161538	-0.677461538	-0.639761538	-0.673561538	-0.215261538	-0.904861538	-0.989461538	-0.675761538	-0.567561538	-0.647061538	-0.609761538	-0.420361538	-0.324361538	-0.621961538	-0.865761538	-0.884361538	-0.776861538	-0.606061538	-0.605061538	-0.713861538	-0.650361538	-0.644361538	-0.639961538	-0.581361538	-0.560961538	-0.697661538
GOLGA4	0.114814286	0.220214286	0.154014286	0.127914286	0.103314286	0.251314286	0.187614286	0.123614286	0.021614286	0.396814286	0.108314286	0.125614286	0.415014286	0.303214286	0.291814286	0.085514286	0.283414286	0.167414286	0.197814286	0.423714286	0.139314286	0.313214286	0.095114286	0.082514286	0.218914286	0.288114286	0.106814286
GOLGA5	0.0466	-0.0286	-0.0665	-0.1538	-0.2648	0.0017	-0.1522	-0.0249	-0.116	-0.1822	-0.1955	-0.045	0.0641	-0.0287	0.0152	-0.181	-0.1463	-0.0793	-0.0057	0.001	-0.1459	-0.0342	-0.1011	-0.119	-0.2545	0.0603	-0.0169
GOLGA7	-0.20885	-0.42895	-0.57035	-0.56145	-0.44185	-0.65515	-0.64325	-0.31435	-0.68415	-0.46525	-0.50855	-0.52315	-0.65995	-0.46465	-0.76935	-0.41735	-0.56815	-0.45995	-0.53575	-0.34025	-0.52245	-0.52215	-0.48205	-0.29935	-0.39485	-0.60055	-0.46175
GOLGA8A	0.254890909	0.205490909	0.142190909	0.042190909	0.386790909	0.646890909	0.002790909	0.423890909	-0.033109091	0.105990909	0.192290909	0.158490909	-0.126009091	0.284190909	0.147790909	0.265690909	0.285290909	0.554490909	0.345990909	0.434590909	0.430690909	-0.126709091	0.517390909	-0.010109091	0.197790909	-0.101109091	0.388390909
GOLGB1	-0.212866667	-0.174966667	0.070033333	-0.238866667	-0.369066667	-0.025366667	-0.039266667	-0.262166667	-0.517466667	-0.033666667	-0.225366667	-0.236566667	0.247433333	-0.152766667	0.088733333	-0.155966667	-0.174366667	0.064733333	-0.138966667	-0.436366667	-0.221166667	-0.115966667	-0.119866667	-0.141166667	0.091133333	-0.038766667	-0.179366667
GOLPH3	0.12815	0.38825	0.33635	0.28975	0.27185	0.45825	0.36115	0.50265	0.43325	0.26495	0.32035	0.35595	0.24235	0.22675	0.10945	0.19265	0.25745	0.36365	0.41805	0.34715	0.31235	0.37995	0.33055	0.28765	0.22375	0.29445	0.26385
GOLPH3L	1.42775	0.93655	1.25535	1.45435	1.37875	1.65655	1.15375	1.29705	0.93065	1.24215	1.63825	1.03585	1.57225	1.67875	1.23545	0.88315	0.77265	0.88535	0.80095	1.39765	0.81025	1.27875	0.87805	0.99025	1.39265	1.35195	1.36505
GOLT1A	-0.57385	-0.18225	-0.82465	-0.50055	-0.57395	-0.54625	-0.53435	-0.57125	0.15615	-0.40575	-0.61975	-0.88175	-0.39125	-0.60825	-0.69925	-0.20725	-0.48005	-0.60925	-0.64355	-0.43895	-0.53965	-0.55475	-0.03675	-0.67775	-0.30155	-0.05105	-0.35105
GOLT1B	0.722766667	0.714966667	0.706966667	0.636966667	0.506366667	0.897466667	0.709766667	0.708166667	0.702366667	0.670266667	0.635866667	0.573466667	0.728466667	0.728866667	0.678466667	0.612966667	0.753166667	0.433366667	0.800466667	0.735366667	0.730466667	0.861266667	0.647866667	0.474466667	0.785766667	0.921366667	0.684566667
GON4L	0.017227778	0.051927778	0.364427778	-0.135572222	-0.249372222	0.006027778	-0.089072222	0.302927778	-0.184372222	-0.105072222	-0.076972222	0.016927778	-0.218472222	-0.085372222	-0.185272222	-0.143872222	-0.036172222	-0.058572222	0.028627778	-0.011472222	-0.000172222	0.013927778	0.022927778	-0.063372222	0.063127778	-0.312772222	0.042327778
GOPC	0.4674	0.254	0.1429	0.116	-0.0317	0.2397	0.1413	0.353	0.1577	0.3537	0.2497	0.3042	0.189	0.219	0.2261	0.2168	0.2616	0.2055	-0.0818	-0.0608	0.0473	0.3108	0.5451	0.0411	0.0227	0.102	0.2725
GORASP1	0.459	0.257	0.8475	0.47	0.274	0.6262	0.9131	0.6011	0.6078	0.7084	0.9477	0.1498	0.4404	0.7824	0.5334	0.2731	0.295	0.6171	0.3054	0.6059	0.3621	0.607	0.2575	0.4013	0.5852	0.5715	0.4649
GORASP2	0.832233333	0.890933333	0.842533333	0.822233333	1.088633333	0.841033333	0.811033333	1.044233333	0.708933333	0.875733333	1.110033333	0.766533333	0.767333333	0.701933333	0.770633333	0.785233333	0.732133333	0.781633333	0.830533333	0.988533333	0.806133333	0.633033333	0.757033333	0.954933333	0.751533333	0.773333333	0.710833333
GOSR1	-0.473288462	-0.414788462	-0.469888462	-0.525188462	-0.604588462	-0.699888462	-0.556588462	-0.502988462	-0.442488462	-0.499388462	-0.772888462	-0.516288462	-0.447388462	-0.559488462	-0.416088462	-0.537488462	-0.544288462	-0.838488462	-0.403388462	-0.376388462	-0.422788462	-0.422488462	-0.377688462	-0.445188462	-0.280888462	-0.507088462	-0.469288462
GOSR2	-0.05781875	-0.03781875	-0.03101875	-0.23191875	-0.12841875	-0.09451875	-0.08511875	-0.17751875	-0.03741875	-0.44361875	-0.58741875	-0.48971875	-0.00401875	-0.17071875	0.04058125	-0.20651875	-0.14301875	-0.17811875	-0.23601875	0.01498125	-0.26991875	-0.31211875	-0.21881875	-0.37921875	-0.69801875	-0.03681875	-0.01791875
GOT1	-2.35075	-2.50585	-2.13735	-2.26525	-2.27885	-2.03015	-2.42215	-2.12425	-2.43675	-2.53235	-2.24785	-1.89135	-2.20635	-2.15355	-2.17775	-1.87915	-1.77835	-2.27235	-2.40235	-2.09215	-1.50925	-2.47555	-2.41835	-2.42635	-1.99205	-2.19585	-2.44505
GOT1L1	-0.573576923	-1.042476923	-1.012876923	-1.014376923	-1.028476923	-0.994576923	-1.010376923	-0.668676923	-1.031476923	-0.793576923	-0.983576923	-1.102576923	-1.026276923	-1.018776923	-1.022176923	-1.022376923	-1.051576923	-1.019876923	-1.033176923	-0.767376923	-0.985276923	-1.036176923	-1.018476923	-1.137976923	-1.034276923	-0.492176923	-1.043576923
GOT2	-1.151764286	-0.997764286	-0.948364286	-0.993164286	-0.916764286	-1.314864286	-1.132664286	-0.949264286	-0.980864286	-1.012664286	-1.018064286	-1.076164286	-0.859764286	-0.955764286	-0.973764286	-1.255664286	-1.269964286	-0.949264286	-1.121564286	-1.076864286	-0.924564286	-1.041064286	-1.029164286	-0.824264286	-0.972764286	-0.895464286	-0.962464286
GP1BA	-0.1769	-0.5709	-0.0081	-0.2669	-0.4295	0.0532	-0.1865	-0.5046	-0.542	-0.2815	-0.0275	-0.4529	-0.2207	0.2382	-0.4509	-0.287	-0.773	-0.0767	-0.3013	0.2776	-0.6445	-0.3407	-0.3372	-0.698	-0.3695	-0.5743	0.1159
GP2	0.100233333	0.004233333	0.206333333	-0.043466667	0.176333333	0.189833333	0.211733333	0.383233333	0.160433333	0.180733333	0.236133333	0.161333333	-0.053966667	-0.017466667	0.185333333	0.024133333	-0.155966667	0.237433333	0.126833333	0.031033333	-0.010366667	0.211433333	0.001933333	0.161033333	0.012733333	0.179933333	0.159133333
GP5	0.246	0.5244	0.2543	0.2495	0.1126	0.2662	0.2587	0.2665	0.2362	0.2136	0.2865	0.3527	0.1396	0.2289	0.2427	0.0435	0.2176	0.2601	0.2408	0.2412	0.2102	0.2386	0.2465	0.2676	0.2339	0.2337	0.2218
GP6	-0.0982	0.0697	0.0396	-0.0752	0.0678	-0.188	0.0932	-0.0619	0.0585	0.9012	0.0315	0.4454	0.0853	0.1726	-0.026	0.4145	0.4924	0.0005	0.0428	-0.1023	0.3735	0.0506	-0.0379	0.5307	0.2944	0.1679	0.4755
GPA33	0.3109	0.269	0.4457	0.438	0.69	0.4105	0.4508	0.4581	0.4276	0.7337	0.2568	0.6139	0.4215	0.4038	0.4317	0.1795	0.3567	0.2137	0.4373	0.428	0.3828	0.3201	0.4352	0.5849	0.1531	0.3627	0.2618
GPAA1	0.6947	0.735	0.7939	0.8228	0.8844	0.7176	0.7871	0.2219	0.5192	0.6792	0.9146	0.7766	0.588	0.6715	0.6071	0.9009	0.7181	0.8971	0.6851	0.5826	0.6514	0.7113	0.6839	0.7603	0.764	0.7841	0.8036
GPAM	0.0952	0.2337	0.1916	0.1678	0.0727	0.1086	0.064	0.2624	0.2537	-0.1629	0.1952	0.3389	-0.0984	0.1344	0.3512	0.0451	0.1777	0.3263	0.211	0.2432	0.3841	-0.0502	0.1088	0.2778	0.3553	0.1627	0.1826
GPATCH1	0.0956625	0.1659625	0.0123625	0.0349625	-0.2983375	-0.2316375	-0.1588375	-0.3330375	-0.0934375	-0.1590375	-0.3953375	-0.2452375	-0.0680375	0.1045625	-0.0005375	-0.1983375	-0.0260375	-0.1757375	0.1274625	-0.3282375	-0.1757375	0.1304625	-0.0275375	-0.1509375	-0.3950375	-0.0590375	0.0194625
GPATCH2	1.1136	1.0771	0.6962	1.409	1.01	1.1784	1.1763	1.2637	0.7533	1.2264	1.1094	1.3005	1.1814	1.3402	1.3165	1.1546	1.2952	0.9192	1.147	1.1494	1.1908	1.2054	1.3619	1.0476	1.2488	1.202	0.9383
GPATCH3	0.0634	-0.0657	-0.3788	-0.1029	-0.0898	-0.0224	0.0098	-0.2678	-0.127	-0.169	-0.0477	-0.0833	-0.1351	-0.1002	-0.108	-0.0045	-0.1551	0.1291	-0.0325	-0.1556	-0.1689	0.1134	-0.0067	-0.0758	-0.0058	-0.1025	0.1537
GPATCH4	-0.1261375	-0.2295375	0.2512625	-0.1615375	-0.5190375	-0.1918375	-0.3490375	0.2054625	-0.2392375	-0.2657375	-0.3873375	-0.3957375	-0.4481375	-0.1172375	-0.1858375	-0.4366375	-0.3142375	-0.4108375	-0.2283375	0.0372625	-0.2465375	-0.0674375	-0.3982375	-0.3386375	-0.1577375	-0.1705375	-0.3247375
GPATCH8	0.133966667	-0.056033333	-0.032933333	-0.157633333	-0.045133333	-0.057233333	-0.149933333	-0.039533333	-0.097033333	-0.176533333	-0.074733333	-0.052133333	-0.083533333	-0.042633333	-0.131233333	-0.082433333	0.037866667	0.031166667	-0.021533333	-0.063933333	0.105566667	-0.072333333	0.040366667	-0.049333333	-0.059833333	-0.271233333	-0.108733333
GPBAR1	-0.148666667	-0.171566667	-0.268166667	-0.768066667	0.000433333	-0.471866667	-0.418566667	0.095233333	-0.253266667	-0.157366667	-0.603566667	-0.119466667	-0.393466667	-0.053866667	-0.780566667	0.035633333	-0.234066667	-0.129266667	-0.848266667	-0.035766667	-0.420266667	-0.815266667	-0.294566667	-0.188666667	-0.106666667	-0.299066667	-0.246366667
GPBP1	0.1805	0.3437	0.3839	0.2395	0.4678	0.5581	0.4209	0.201	0.3426	0.4709	0.4224	0.298	0.3892	0.8022	0.213	0.3504	0.3725	0.2402	0.2485	0.118	0.4041	0.3001	0.3723	0.3805	0.2032	0.2641	0.3377
GPBP1L1	0.38565	0.25305	0.58075	0.33015	0.23045	0.23475	0.28915	0.16285	0.35685	0.40615	0.32305	0.30955	0.22215	0.29595	0.38775	0.34255	0.27375	0.28825	0.24615	0.33335	0.09335	0.45465	0.37405	0.29735	0.21255	0.30665	0.33855
GPC1	-0.1561	-0.5685	-0.2643	-0.5557	-0.6191	-0.4899	-0.2295	-0.8522	0.2206	0.1867	-0.1139	-0.1893	-0.4375	-1.0807	-0.5562	-0.4595	-0.5253	-0.5118	-0.1252	-0.7326	-0.3795	-0.276	-0.1114	-0.0339	-0.8299	0.2409	-0.0471
GPC3	3.535227273	3.358327273	3.069427273	3.075027273	3.514227273	3.800427273	3.685827273	3.062927273	2.943127273	3.042127273	3.270627273	2.868927273	2.894127273	3.103127273	2.925227273	3.186827273	3.020627273	3.362327273	2.906327273	2.911027273	2.938027273	3.163827273	3.082627273	2.991227273	3.099627273	2.960827273	3.063627273
GPC4	-1.2618	-0.8062	0.2826	-0.1919	-0.8709	0.2945	-0.2387	-0.3463	-0.4508	-0.1585	-0.3542	-1.644	-0.0914	-0.5338	-0.0531	-0.4786	-0.4229	-0.6204	-0.5803	-0.0236	-0.1397	-0.5626	-0.602	-1.0746	-0.313	-0.614	-0.3989
GPC5	-4.4018	-4.5247	-4.6075	-4.634	-4.4474	-4.8117	-4.4375	-4.5431	-4.5315	-4.637	-4.561	-4.4657	-4.8127	-4.9294	-3.8868	-4.9379	-4.8323	-4.3841	-4.4418	-4.5376	-4.5762	-4.5752	-4.795	-4.8131	-4.7562	-4.7937	-4.5845
